Urgency,Category,Issue,Affected URL,Details,Recommended Action
MEDIUM,Accessibility,16 form controls lack labels,https://www.amipi.com//sell/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/Contact-Us/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,21 links have no accessible name,https://www.amipi.com/Contact-Us/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,30 form controls lack labels,https://www.amipi.com/Contact-Us/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/My-Cart/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/My-Cart/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,16 form controls lack labels,https://www.amipi.com/My-Cart/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/Privacy-Policy/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/Privacy-Policy/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,16 form controls lack labels,https://www.amipi.com/Privacy-Policy/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/Schedule-Appointment/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/Schedule-Appointment/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,25 form controls lack labels,https://www.amipi.com/Schedule-Appointment/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/Testimonials/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/Testimonials/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,22 form controls lack labels,https://www.amipi.com/Testimonials/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/about-us/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/about-us/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,16 form controls lack labels,https://www.amipi.com/about-us/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/amipi-cares/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/amipi-cares/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,16 form controls lack labels,https://www.amipi.com/amipi-cares/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/bands-old/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,15 links have no accessible name,https://www.amipi.com/bands-old/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,94 form controls lack labels,https://www.amipi.com/bands-old/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/basics/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,18 links have no accessible name,https://www.amipi.com/basics/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,40 form controls lack labels,https://www.amipi.com/basics/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/bracelets/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,18 links have no accessible name,https://www.amipi.com/bracelets/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,40 form controls lack labels,https://www.amipi.com/bracelets/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=1,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,40 links have no accessible name,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=1,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,134 form controls lack labels,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=1,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=2,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,40 links have no accessible name,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=2,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,134 form controls lack labels,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=2,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/certified.php/?type=bracelets&/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,40 links have no accessible name,https://www.amipi.com/certified.php/?type=bracelets&/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,134 form controls lack labels,https://www.amipi.com/certified.php/?type=bracelets&/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/certified.php/?type=studs/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,18 links have no accessible name,https://www.amipi.com/certified.php/?type=studs/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,84 form controls lack labels,https://www.amipi.com/certified.php/?type=studs/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/compare-product.php,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,17 links have no accessible name,https://www.amipi.com/compare-product.php,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,40 form controls lack labels,https://www.amipi.com/compare-product.php,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,16 links have no accessible name,https://www.amipi.com/diamonds/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,55 form controls lack labels,https://www.amipi.com/diamonds/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=1,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=1,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=1,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=2,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=2,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&DiamondType=2,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=1,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=1,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=1,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=2,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=2,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&origin=2,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=1&origin=2/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=10&origin=2/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=1/",Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=1/",Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=1/",Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=2/",Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=2/",Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,"https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=11,12,13,14,15&origin=2/",Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=2&origin=2/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=3&origin=2/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,121 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=4&origin=2/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=5&origin=1/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=5&origin=1/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
MEDIUM,Accessibility,120 form controls lack labels,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=5&origin=1/,Associate each control with a label or aria-label.,"Ensure every form control has an associated label using `<label for=""id"">`, `aria-label`, or `aria-labelledby` attributes, and verify labels are descriptive and programmatically linked to their inputs."
MEDIUM,Accessibility,Document language is not declared,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=5&origin=2/,Add a valid lang attribute to <html>.,"Add a lang attribute to the opening <html> tag specifying the primary language of the document (e.g., <html lang=""en"">)."
MEDIUM,Accessibility,34 links have no accessible name,https://www.amipi.com/diamonds/?IsSingleDiamond=1&shape=5&origin=2/,Add visible link text or an aria-label.,"Ensure every `<a>` element has discernible text content, an `aria-label`, or `aria-labelledby` attribute providing a clear, descriptive name for the link's purpose."
